sofifa_id;name;team;position;foot;best_position;height;weight;age;ova;pot;growth;gk_handling;weak_foot;international_reputation;team_position;pac;sho;pas;dri;def;phy;wage;value
250723;K. Kone;Borussia Mönchengladbach;Meio-Campo;Right;CAM;185;80;20;76;85; 9;10;3;1; 3;71;69;74;81;67;70; 20000; 16500000
263578;Alex Balde;FC Barcelona;Defensor;Left;LB;175;69;17;68;83;15; 8;3;1; 2;82;41;54;70;62;56;  2000;  2600000
208418;Y. Carrasco;Atlético de Madrid;Atacante;Right;LM;185;73;27;84;84; 0;11;4;3; 4;88;81;78;85;45;67; 81000; 45000000
252371;J. Bellingham;Borussia Dortmund;Defensor;Right;CM;186;75;18;82;90; 8;11;4;2; 2;75;73;76;83;77;79; 25000; 64000000
253072;D. Nunez;SL Benfica;Atacante;Right;ST;187;81;22;79;87; 8;10;3;1; 4;88;80;66;75;42;86; 16000; 39500000
241721;Rafael Leao;AC Milan;Atacante;Right;RM;188;81;22;82;90; 8;12;4;1; 4;91;77;72;86;27;74; 52000; 68500000
247090;E. Fernandez;River Plate;Meio-Campo;Right;CAM;180;77;20;77;86; 9; 6;4;1; 3;74;69;75;78;72;80; 14000; 23000000
233731;A. Isak;Real Sociedad;Atacante;Right;ST;192;77;21;82;86; 4; 6;5;2; 4;84;82;69;80;29;69; 37000; 45000000
260592;B. Sesko;FC Red Bull Salzburg;Defensor;Right;ST;193;77;18;68;82;14; 8;3;1; 2;76;67;60;67;42;73;  5000;  2800000
239085;E. Haaland;Borussia Dortmund;Atacante;Left;ST;194;94;20;88;94; 6;14;3;4; 4;88;91;65;81;48;88;110000;143500000
238041;T. Malacia;Feyenoord;Defensor;Left;LWB;169;67;21;79;85; 6; 9;3;1; 2;85;56;66;78;76;76; 10000; 26500000
251573;Renan Lodi;Atlético de Madrid;Defensor;Left;LB;173;68;23;81;86; 5; 7;3;1; 2;84;68;76;81;75;75; 49000; 36500000
258972;I. Toure;Le Havre AC;Defensor;Left;CB;204;100;18;63;79;16; 7;3;1; 2;59;30;47;51;61;72;   550;  1100000
194765;A. Griezmann;Atlético de Madrid;Atacante;Left;CAM;176;73;30;85;85; 0; 8;3;4; 4;80;84;84;87;52;72;220000; 53000000
251517;J. Gvardiol;RB Leipzig;Defensor;Left;CB;185;80;19;79;89;10; 8;4;1; 2;82;54;69;73;78;83; 35000; 35500000
255654;P. Kalulu;AC Milan;Defensor;Right;CB;179;69;21;75;83; 8; 5;3;1; 2;78;49;63;66;76;73; 22000; 12000000
256516;Nico Williams;Athletic Club de Bilbao;Atacante;Right;ST;181;67;18;71;86;15;13;4;1; 4;90;67;61;76;31;57;  6000;  4400000
256725;F. Carvalho;Fulham;Atacante;Right;CAM;175;66;18;73;86;13; 5;4;1; 4;79;68;67;75;45;52; 15000;  7000000
237647;A. Hrustic;Eintracht Frankfurt;Atacante;Left;CAM;183;78;24;72;75; 3; 7;2;1; 4;73;68;73;73;60;69; 17000;  3200000
241637;A. Tchouameni;AS Monaco;Meio-Campo;Right;CDM;187;81;21;81;88; 7; 8;3;2; 3;72;69;78;78;81;83; 46000; 52000000
251805;J. Timber;Ajax;Defensor;Right;CB;179;77;20;79;88; 9; 6;3;1; 2;83;47;66;76;79;79; 13000; 36000000
254796;N. Madueke;PSV;Atacante;Left;CAM;182;70;19;77;88;11;13;4;1; 4;90;71;68;83;36;62; 11000; 23000000
158023;L. Messi;Paris Saint-Germain;Atacante;Left;CAM;169;67;34;92;92; 0;11;4;5; 4;83;90;91;95;34;64;290000; 69500000
216388;A. Saint;Newcastle United;Atacante;Right;CAM;173;67;24;81;84; 3; 9;4;2; 4;91;73;73;88;27;69; 46000; 35000000
246104;R. Gravenberch;Ajax;Meio-Campo;Right;CAM;190;79;19;78;90;12; 8;4;1; 3;77;74;77;82;67;71; 11000; 33000000
232411;C. Nkunku;RB Leipzig;Atacante;Right;CAM;175;73;23;86;89; 3; 6;3;3; 4;89;81;83;87;67;65;110000; 93000000
239207;M. Gomez;Valencia CF;Meio-Campo;Right;ST;186;84;24;79;82; 3; 8;3;1; 3;66;79;68;73;32;82; 38000; 24500000
251852;K. Adeyemi;FC Red Bull Salzburg;Atacante;Left;CAM;177;75;19;74;87;13;12;3;1; 4;93;76;66;78;24;69; 16000; 10000000
222665;M. Odegaard;Arsenal;Atacante;Left;CAM;178;68;22;83;89; 6;15;2;3; 4;77;75;84;84;58;63; 95000; 58500000
217620;A. Seck;Royal Antwerp FC;Defensor;Right;CB;192;95;29;71;72; 1;15;3;1; 2;75;47;55;57;68;86; 13000;  1700000
222665;M. Odegaard;Arsenal;Atacante;Left;CAM;178;68;22;83;89; 6;15;2;3; 4;77;75;84;84;58;63; 95000; 58500000
211117;D. Alli;Everton;Atacante;Right;ST;188;80;25;78;81; 3; 6;3;3; 4;68;77;76;80;65;74; 72000; 18500000
246174;H. Elliott;Liverpool;Atacante;Left;CAM;170;67;18;73;87;14;10;4;1; 4;79;62;71;78;37;42; 23000;  7000000
251854;Pedri;FC Barcelona;Meio-Campo;Right;CM;174;61;18;84;92; 8; 7;4;2; 3;78;67;81;87;68;67; 66000; 88500000
253004;Ansu Fati;FC Barcelona;Atacante;Right;CAM;178;66;18;79;90;11; 9;4;2; 4;88;77;71;82;30;53; 56000; 37000000
256790;J. Musiala;FC Bayern München;Atacante;Right;CAM;180;68;18;79;89;10; 9;4;1; 4;76;72;72;87;59;58; 26000; 37000000
226710;G. Scamacca;U.S. Sassuolo Calcio;Atacante;Right;ST;195;85;22;78;84; 6;10;3;2; 4;73;78;59;75;35;74; 34000; 23000000
241486;J. Kounde;Sevilla FC;Defensor;Right;CB;181;75;22;83;89; 6;10;3;2; 2;82;45;64;72;84;78; 33000; 53000000
246191;J. Alvarez;River Plate;Atacante;Right;CAM;173;68;21;78;86; 8;10;4;1; 4;85;79;76;83;55;74; 87000; 32000000
262053;Kayky;Manchester City;Atacante;Left;LM;175;67;18;66;87;21;14;3;1; 4;81;58;57;72;28;45; 12000;  2700000
264309;A. Guler;Fenerbahçe SK;Atacante;Left;CAM;176;61;16;66;86;20;10;3;1; 4;67;58;70;72;40;41;  2000;  2300000
188545;R. Lewandowski;FC Bayern München;Atacante;Right;ST;185;81;32;92;92; 0; 6;4;5; 4;78;92;79;86;44;82;270000;119500000
231943;Richarlison;Everton;Atacante;Right;ST;181;71;24;81;86; 5; 7;5;3; 4;83;79;73;83;53;80; 90000; 39500000
236499;Douglas Luiz;Aston Villa;Meio-Campo;Right;CDM;175;66;23;77;84; 7; 6;2;2; 3;67;67;75;76;73;69; 47000; 20000000
246430;D. Vlahovic;Juventus;Atacante;Left;ST;190;75;21;83;90; 7;15;3;2; 4;80;84;61;78;28;79; 85000; 74500000
 20801;Cristiano Ronaldo;Manchester United;Atacante;Right;ST;187;83;36;91;91; 0;11;4;5; 4;85;93;80;86;34;75;270000; 45000000
225375;K. Laimer;RB Leipzig;Defensor;Right;CDM;180;72;24;82;84; 2;12;3;2; 2;81;68;78;79;80;77; 70000; 35500000
262138;C. Lukeba;Olympique Lyonnais;Defensor;Left;CB;184;73;18;75;86;11;10;2;1; 2;76;43;66;70;75;74; 13000; 11000000
234906;H. Aouar;Olympique Lyonnais;Atacante;Right;CAM;175;70;23;79;84; 5; 6;3;2; 4;74;70;78;84;64;69; 57000; 26500000
230658;Arthur;Juventus;Meio-Campo;Right;CM;171;73;24;81;83; 2;13;3;2; 3;71;65;81;86;72;70; 76000; 33000000
236572;O. Wijndal;AZ Alkmaar;Defensor;Left;LWB;176;65;21;79;84; 5;12;2;2; 2;85;53;76;78;74;74; 10000; 25000000
237520;M. Camara;Olympiacos CFP;Meio-Campo;Right;CDM;182;75;24;75;80; 5;11;3;1; 3;76;74;72;74;74;82;  1000;  8500000
257179;Goncalo Inacio;Sporting CP;Defensor;Left;CB;185;78;19;78;87; 9; 6;2;1; 2;79;36;61;60;80;75;  8000; 28500000
238794;Vinicius Jr;Real Madrid CF;Atacante;Right;RM;176;73;20;84;91; 7; 7;4;2; 4;95;77;73;89;29;67;165000; 83500000
252961;T. Nianzou;FC Bayern München;Defensor;Right;CB;187;83;19;72;85;13;14;3;1; 2;70;37;56;64;72;74; 20000;  5000000
253163;R. Araujo;FC Barcelona;Defensor;Right;CB;192;91;22;82;89; 7;14;3;1; 2;77;47;61;57;82;81;125000; 57500000
258942;O. Popescu;FCSB (Steaua);Atacante;Right;CAM;180;66;18;72;86;14;12;4;1; 4;82;68;69;76;27;52;  6000;  5500000
216265;U. Ikpeazu;Cardiff City;Atacante;Right;ST;191;88;26;67;68; 1; 8;4;1; 4;61;65;50;63;27;82; 11000;  1200000
235844;E. Alvarez;Ajax;Meio-Campo;Right;CB;187;73;23;79;84; 5;11;3;1; 3;70;53;67;67;81;84; 16000; 24500000
252567;S. Alexandropoulos;Panathinaikos FC;Meio-Campo;Right;CDM;183;71;19;70;80;10; 8;2;1; 3;76;60;63;69;66;71;   500;  3200000
255069;Nico Gonzalez;FC Barcelona;Meio-Campo;Right;CDM;188;86;19;75;85;10;14;3;1; 3;68;63;72;73;73;78; 55000; 12000000
195864;P. Pogba;Manchester United;Atacante;Right;CM;191;84;28;86;86; 0; 6;4;4; 4;69;81;86;86;63;82;200000; 68000000
237692;P. Foden;Manchester City;Atacante;Left;CAM;171;69;21;84;92; 8;15;3;3; 4;84;78;80;88;56;59;140000; 94500000
240734;M. O'Riley;Celtic;Atacante;Left;CAM;187;77;20;69;78; 9;12;3;1; 4;64;63;69;68;58;67; 17000;  3000000
259356;C. Chukwuemeka;Aston Villa;Atacante;Right;CAM;183;70;17;64;86;22;12;3;1; 4;65;53;62;68;44;57;  2000;  1800000
216201;Inaki Williams;Athletic Club de Bilbao;Atacante;Right;ST;186;80;27;81;81; 0;15;2;2; 4;94;78;72;78;38;82; 39000; 28000000
229880;A. Wan;Manchester United;Defensor;Right;RB;183;72;23;80;83; 3; 8;2;2; 2;85;50;66;75;78;73; 90000; 26500000
240243;Matheus Cunha;Atlético de Madrid;Atacante;Right;CAM;184;76;22;79;85; 6; 7;4;2; 4;85;79;73;84;31;73; 53000; 28500000
240950;Pedro Goncalves;Sporting CP;Atacante;Right;CAM;173;77;23;81;88; 7;11;4;1; 4;76;80;80;84;56;64; 19000; 51500000
242444;Joao Felix;Atlético de Madrid;Atacante;Right;CAM;181;70;21;83;91; 8;12;4;2; 4;83;79;78;87;40;67; 61000; 82000000
246618;A. Hlozek;AC Sparta Praha;Atacante;Right;ST;188;86;18;77;87;10;10;4;1; 4;78;75;72;77;31;79;   500; 22000000
251804;S. Dest;FC Barcelona;Defensor;Right;RM;175;62;20;77;84; 7;10;4;1; 2;86;59;72;81;69;66; 71000; 20000000
256630;F. Wirtz;Bayer 04 Leverkusen;Atacante;Right;CAM;176;70;18;82;90; 8;14;4;2; 4;75;73;80;86;51;60; 24000; 64000000
263312;Z. Sertdemir;Bayer 04 Leverkusen;Atacante;Left;CAM;182;71;16;62;85;23; 8;3;1; 4;68;54;62;68;47;54;  1000;  1200000
228702;F. de Jong;FC Barcelona;Meio-Campo;Right;CM;180;74;24;87;92; 5;13;3;3; 3;81;69;85;87;77;78;210000;119500000
238067;N. Zaniolo;Roma;Atacante;Left;CAM;190;79;21;80;88; 8;11;3;2; 4;87;75;71;80;61;83; 49000; 47500000
240740;C. Hudson;Chelsea;Defensor;Right;CAM;177;79;20;78;86; 8;13;3;2; 2;82;68;75;82;48;59; 77000; 31000000
242453;S. van den Berg;Preston North End;Defensor;Right;CB;194;78;19;71;81;10;14;3;1; 2;67;34;59;64;71;74; 25000;  3800000
244675;Sancet;Athletic Club de Bilbao;Atacante;Right;CAM;188;72;21;75;85;10;11;4;1; 4;75;74;68;75;51;65; 20000; 12500000
245541;G. Reyna;Borussia Dortmund;Atacante;Right;CAM;185;79;18;77;87;10;13;2;2; 4;77;71;74;82;36;71; 18000; 22000000
253002;G. Raspadori;U.S. Sassuolo Calcio;Atacante;Right;ST;172;69;21;76;85; 9;14;5;2; 4;81;75;63;79;26;56; 25000; 17000000
227796;C. Pulisic;Chelsea;Atacante;Right;RM;177;69;22;82;88; 6;12;4;3; 4;87;71;73;86;37;59;120000; 49000000
231184;Guruzeta;SD Amorebieta;Atacante;Right;ST;188;77;24;69;74; 5;14;4;1; 4;69;68;62;68;26;66;  4000;  2100000
234153;Carlos Soler;Valencia CF;Atacante;Right;CAM;180;76;24;81;86; 5;14;4;2; 4;77;77;82;79;71;72; 39000; 38500000
256008;Morato;SL Benfica;Defensor;Left;CB;190;88;20;74;86;12;12;2;1; 2;67;35;51;60;73;80;  8000;  9500000
234577;Diogo Costa;FC Porto;Goleiro;Right;GK;187;81;21;77;86; 9;73;2;1; 1;75;73;71;80;32;76;  7000; 20500000
246352;Guillamon;Valencia CF;Defensor;Right;CDM;178;62;21;75;83; 8;11;4;1; 2;62;51;66;65;75;72; 20000; 12000000
247832;Thierry Correia;Valencia CF;Defensor;Right;RWB;176;69;22;75;81; 6;15;4;1; 2;91;49;67;74;69;71; 23000;  8500000
248243;E. Camavinga;Real Madrid CF;Meio-Campo;Left;CM;182;68;18;79;89;10; 6;3;3; 3;76;65;77;81;76;78; 48000; 37000000
216393;Y. Tielemans;Leicester City;Meio-Campo;Right;CM;176;72;24;84;87; 3; 8;5;2; 3;60;80;86;81;71;73;125000; 57000000
230666;Gabriel Jesus;Manchester City;Atacante;Right;ST;175;73;24;83;86; 3; 8;3;2; 4;84;81;74;86;40;74;150000; 49500000
232756;F. Tomori;AC Milan;Defensor;Right;CB;185;79;23;82;88; 6;13;4;2; 2;86;37;58;66;84;81; 42000; 43500000
233800;F. Bjorkan;Hertha BSC;Defensor;Left;LB;180;74;22;73;79; 6;13;2;1; 2;83;52;62;72;66;72; 25000;  4600000
234577;Diogo Costa;FC Porto;Goleiro;Right;GK;187;81;21;77;86; 9;73;2;1; 1;75;73;71;80;32;76;  7000; 20500000
224293;Ruben Neves;Wolverhampton Wanderers;Meio-Campo;Right;CM;180;80;24;83;88; 5;12;4;2; 3;60;74;86;77;76;74; 95000; 54500000
230767;Renato Sanches;LOSC Lille;Atacante;Right;CAM;176;70;23;80;86; 6;12;4;3; 4;84;74;77;84;72;84; 38000; 33000000
231352;T. Abraham;Roma;Atacante;Right;ST;190;80;23;81;86; 5; 7;3;2; 4;83;79;62;75;32;75; 61000; 39500000
232097;A. Harit;Olympique de Marseille;Atacante;Right;CAM;180;67;24;75;78; 3;13;3;2; 4;76;62;70;80;39;51; 11000;  7500000
232104;D. James;Leeds United;Atacante;Right;RM;171;76;23;77;82; 5; 6;4;1; 4;95;70;69;76;47;66; 62000; 16000000
236477;A. Claude;OGC Nice;Atacante;Right;CAM;175;64;23;72;78; 6;13;3;2; 4;85;70;71;76;67;67; 19000;  3700000
246764;M. Camara;FC Red Bull Salzburg;Meio-Campo;Right;CDM;169;65;21;76;84; 8; 5;3;1; 3;82;58;68;77;72;76; 18000; 16000000
251566;Gabriel Martinelli;Arsenal;Atacante;Right;RM;178;75;20;78;88;10; 6;3;1; 4;87;71;68;81;44;69; 56000; 31000000
252042;Joao Pedro;Watford;Atacante;Right;ST;182;70;19;71;84;13; 6;4;1; 4;77;68;60;74;25;58; 20000;  4500000
256197;P. Hincapie;Bayer 04 Leverkusen;Defensor;Left;CB;183;66;19;76;84; 8;15;2;1; 2;82;39;64;71;78;70; 21000; 15000000
259377;Yeremy Pino;Villarreal CF;Atacante;Right;CAM;172;60;18;76;87;11; 7;4;1; 4;78;72;72;77;31;51; 10000; 16000000
259399;R. Hojlund;SK Sturm Graz;Atacante;Left;ST;187;79;18;65;79;14; 8;3;1; 4;82;65;48;60;27;73;  2000;  1700000
262118;T. Livramento;Southampton;Defensor;Right;RB;181;71;18;74;85;11;12;4;1; 2;83;47;65;73;67;67; 11000;  8500000
213956;Adama Traore;FC Barcelona;Atacante;Right;RW;178;86;25;79;80; 1; 9;2;1; 4;96;65;68;86;38;82; 87000; 21000000
222227;P. Berg;Racing Club de Lens;Defensor;Right;CM;178;76;23;74;78; 4;11;2;1; 2;74;61;72;72;68;77; 22000;  6000000
229942;A. Disasi;AS Monaco;Defensor;Right;CB;190;86;23;76;81; 5; 8;2;2; 2;54;28;51;55;77;82; 34000; 10000000
237383;A. Bastoni;Inter;Defensor;Left;CB;190;75;22;83;89; 6; 5;3;1; 2;69;35;68;71;85;80;100000; 53000000
238616;Pedro Neto;Wolverhampton Wanderers;Atacante;Left;CAM;172;62;21;78;85; 7;13;4;1; 4;87;74;69;81;31;60; 62000; 28500000
177003;L. Modric;Real Madrid CF;Meio-Campo;Right;CM;172;66;35;88;88; 0; 9;4;4; 3;73;76;89;88;72;66;230000; 36500000
220834;Marco Asensio;Real Madrid CF;Atacante;Left;RW;182;76;25;83;84; 1; 9;3;3; 4;82;80;81;83;43;62;190000; 43500000
226161;Marcos Llorente;Atlético de Madrid;Defensor;Right;CM;184;74;26;85;86; 1; 6;4;3; 2;88;80;81;82;78;81; 89000; 63000000
231627;U. Sadiq;Unión Deportiva Almería;Atacante;Right;ST;192;75;24;76;81; 5; 9;3;1; 4;82;76;59;71;30;74; 12000; 11500000
231677;M. Rashford;Manchester United;Atacante;Right;RM;186;70;23;82;86; 4; 6;3;3; 4;88;82;75;82;41;74;130000; 43500000
240753;A. Gouiri;OGC Nice;Atacante;Right;ST;180;72;21;79;86; 7;12;3;2; 4;79;81;76;79;45;70; 32000; 36000000
243715;W. Saliba;Olympique de Marseille;Defensor;Right;CB;192;85;20;79;87; 8;10;3;2; 2;78;39;67;69;80;80; 55000; 36000000
247827;M. Olise;Crystal Palace;Atacante;Left;CAM;184;68;19;76;86;10;11;2;1; 4;78;69;74;80;50;54; 28000; 16000000
251873;Y. Demir;SK Rapid Wien;Atacante;Left;RW;173;65;18;72;83;11;11;3;1; 4;83;66;65;78;19;50;  9000;  4900000
255001;N. Rovella;Genoa;Meio-Campo;Right;CM;179;70;19;72;87;15;12;4;1; 3;69;49;70;74;66;65; 25000;  5500000
256476;M. Cho;Angers SCO;Meio-Campo;Left;ST;182;73;17;70;85;15; 6;3;1; 3;83;68;60;76;26;57;  3000;  3700000
257470;A. Elanga;Manchester United;Atacante;Right;RW;178;75;19;72;85;13; 5;3;1; 4;86;66;62;74;35;57; 41000;  5500000
198688;F. Pogba;FC Sochaux-Montbéliard;Defensor;Left;CB;192;93;30;68;68; 0;10;3;1; 2;61;41;58;56;67;80;  3000;  1000000
246669;B. Saka;Arsenal;Defensor;Left;LM;178;65;19;82;89; 7; 8;3;2; 2;84;72;78;84;65;65; 58000; 59500000
246785;Bryan Gil;Valencia CF;Defensor;Left;CAM;175;65;20;77;87;10;10;3;1; 2;78;68;73;82;31;37; 56000; 23000000
247360;L. Stergiou;FC St. Gallen 1879;Defensor;Right;CB;180;75;19;67;84;17; 8;3;1; 2;65;32;46;49;69;72;  2000;  2500000
248808;A. Hickey;Bologna;Defensor;Right;LWB;175;72;19;73;85;12;14;5;1; 2;75;54;68;71;69;57; 12000;  7000000
252145;Nuno Mendes;Paris Saint-Germain;Defensor;Left;LB;176;70;19;80;88; 8; 8;4;1; 2;90;57;73;79;74;74;  9000; 43500000
258171;H. Mejbri;Manchester United;Atacante;Right;RM;182;70;18;64;84;20; 5;3;1; 4;70;51;63;67;52;59;  7000;  1600000
258826;D. Rensch;Ajax;Defensor;Right;RB;179;68;18;73;84;11; 8;5;1; 2;80;55;64;71;70;69;  3000;  6000000
259307;M. Gusto;Olympique Lyonnais;Defensor;Right;RWB;179;74;18;74;84;10; 6;3;1; 2;87;49;66;71;66;72; 12000;  8500000
202556;M. Depay;FC Barcelona;Atacante;Right;CF;176;78;27;85;85; 0;14;3;3; 4;83;84;82;86;30;79;220000; 58500000
222492;L. Sane;FC Bayern München;Atacante;Left;LM;183;80;25;86;87; 1;12;2;3; 4;90;84;81;86;38;69;120000; 81000000
229906;L. Bailey;Aston Villa;Defensor;Left;CAM;178;77;23;81;84; 3;13;3;3; 2;93;78;74;83;33;61; 70000; 35000000
236401;N. Mazraoui;Ajax;Defensor;Right;RB;183;62;23;82;86; 4; 7;3;2; 2;84;66;76;82;76;73; 20000; 40500000
241096;S. Tonali;AC Milan;Meio-Campo;Right;CDM;181;79;21;82;90; 8; 9;4;1; 3;81;73;77;79;79;82; 35000; 64500000
241159;M. Guehi;Crystal Palace;Defensor;Right;CB;185;75;20;77;86; 9; 9;3;1; 2;72;39;56;68;78;74; 34000; 21500000
247246;K. Thuram;OGC Nice;Meio-Campo;Right;CM;192;81;20;76;84; 8; 9;3;1; 3;77;69;73;77;75;76; 23000; 16500000
263620;R. Lavia;Manchester City;Meio-Campo;Right;CB;181;75;17;62;85;23; 7;3;1; 3;57;41;52;59;62;60;   700;  1200000
241084;L. Diaz;Liverpool;Atacante;Right;RM;180;73;24;84;87; 3;13;4;1; 4;92;80;74;87;34;73;145000; 57500000
245371;T. Almada;Atlanta United;Atacante;Right;CAM;171;62;20;76;86;10; 8;4;1; 4;85;72;71;82;52;62;  7000; 16500000
246420;J. Doku;Stade Rennais FC;Atacante;Right;CAM;171;60;19;75;85;10;10;3;3; 4;92;65;66;81;25;64; 25000; 12000000
247497;A. Bella Kotchap;VfL Bochum 1848;Defensor;Right;CB;190;87;19;71;83;12;14;5;1; 2;81;25;50;49;71;75;  8000;  4200000
251570;R. Cherki;Olympique Lyonnais;Atacante;Left;CAM;176;71;17;73;88;15;14;5;1; 4;72;67;68;82;21;60;  6000;  7000000
256079;M. Caicedo;Brighton & Hove Albion;Meio-Campo;Right;CDM;178;71;19;67;79;12; 6;3;1; 3;73;58;62;65;66;65; 10000;  2400000
261025;D. Scarlett;Tottenham Hotspur;Atacante;Right;ST;179;73;17;64;86;22; 8;3;1; 4;72;63;46;62;21;56;  4000;  1800000
264022;Goncalo Esteves;Sporting CP;Defensor;Right;RWB;171;73;17;69;85;16; 6;3;1; 2;74;39;63;68;64;62;   500;  3300000
165153;K. Benzema;Real Madrid CF;Defensor;Right;CF;185;81;33;91;91; 0;11;4;4; 2;80;88;83;87;39;78;450000; 84000000
213565;T. Lemar;Atlético de Madrid;Atacante;Left;CAM;171;63;25;83;86; 3;15;3;3; 4;82;78;83;86;68;64; 71000; 47500000
223334;Joelinton;Newcastle United;Atacante;Right;ST;186;81;24;75;80; 5;13;3;1; 4;76;69;65;78;59;83; 31000;  8500000
231443;O. Dembele;FC Barcelona;Atacante;Left;LM;178;67;24;83;86; 3; 6;5;3; 4;93;77;77;86;36;56;165000; 49500000
233306;D. Henderson;Manchester United;Goleiro;Right;GK;188;85;24;80;84; 4;79;3;2; 1;80;79;78;83;50;76; 70000; 24000000
235790;K. Havertz;Chelsea;Atacante;Left;CAM;189;82;22;84;91; 7; 8;4;3; 4;82;78;79;84;45;66;130000; 85500000
241084;L. Diaz;Liverpool;Atacante;Right;RM;180;73;24;84;87; 3;13;4;1; 4;92;80;74;87;34;73;145000; 57500000
 41236;Z. Ibrahimovic;AC Milan;Atacante;Right;ST;195;102;39;83;83; 0;15;4;5; 4;63;86;78;79;34;72; 46000; 12500000
